Metrix_name,uniqueID,Text_
Responsive,2031,"Performing as or better than expected for 2 out of 3 indicators"
"Safe and Effective",2032,"Performing as or better than expected for 15 out of 17 indicators"
"Seeing preferred GP",2033,"14.87% of patients reported they see or speak to a GP they prefer"
"Smoking support",2034,"97.08% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2035,"87.30% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2036,"87.54% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2037,"71.43 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2038,"0.36 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2039,"4.13% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2040,"74.91% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2041,"0.09 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2042,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2043,"78.1% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2044,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2045,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2046,"82.75% of women have attended cervical screening"
"Chronic Disease Management",2047,"Performing as or better than expected for 3 out of 6 indicators"
"CQC priority for inspection",2048,"High priority (Band 1)"
"Dementia review",2049,"67.53% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2050,"67.25% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2051,"78.66% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2052,"81.63% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2053,"92.78% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2054,"66.83% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2055,"68.80% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2056,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2057,"76.66% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2058,"18.8 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2059,"5.31 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2060,"73.53% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2061,"47.95% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2062,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2063,"0.91 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2064,"0.78 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2065,"82.13% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2066,"90.31% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2067,"48.44% of people with schizophrenia"
"Mental health â€“ care plans",2068,"58.46% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2069,"17.31% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2070,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2071,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2072,"92.08% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2073,"90.11% of patients reported they were satisfied with the opening hours"
Responsive,2074,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2075,"Performing as or better than expected for 13 out of 17 indicators"
"Seeing preferred GP",2076,"25.54% of patients reported they see or speak to a GP they prefer"
"Smoking support",2077,"89.95% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2078,"93.59% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2079,"95.84% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2080,"77.78 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2081,"0.41 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2082,"9.42% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2083,"54.50% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2084,"0.48 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2085,"98.57% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2086,"86.74% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2087,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2088,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2089,"81.33% of women have attended cervical screening"
"Chronic Disease Management",2090,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2091,"Low priority (Band 5)"
"Dementia review",2092,"76.60% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2093,"71.36% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2094,"79.56% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2095,"79.77% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2096,"81.87% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2097,"86.66% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2098,"71.77% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2099,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2100,"62.08% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2101,"15.63 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2102,"19.14 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2103,"66.97% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2104,"34.19% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2105,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2106,"0.52 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2107,"0.76 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2108,"76.27% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2109,"85.84% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2110,"91.38% of people with schizophrenia"
"Mental health â€“ care plans",2111,"82.00% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2112,"8.06% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2113,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2114,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2115,"81.13% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2116,"76.83% of patients reported they were satisfied with the opening hours"
Responsive,2117,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2118,"Performing as or better than expected for 15 out of 17 indicators"
"Seeing preferred GP",2119,"32.47% of patients reported they see or speak to a GP they prefer"
"Smoking support",2120,"95.00% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2121,"79.01% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2122,"91.68% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2123,"75.00 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2124,"0.27 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2125,"4.36% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2126,"68.52% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2127,"0.33 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2128,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2129,"92.7% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2130,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2131,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2132,"84.75% of women have attended cervical screening"
"Chronic Disease Management",2133,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2134,"Low priority (Band 6)"
"Dementia review",2135,"93.88% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2136,"89.23% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2137,"82.24% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2138,"86.92% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2139,"100% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2140,"95.52% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2141,"93.28% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2142,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2143,"64.03% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2144,"13.47 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2145,"5.26 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2146,"74.81% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2147,"49.11% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2148,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2149,"0.85 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2150,"0.87 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2151,"79.18% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2152,"83.99% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2153,"100% of people with schizophrenia"
"Mental health â€“ care plans",2154,"96.30% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2155,"6.31% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2156,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2157,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2158,"84.76% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2159,"80.49% of patients reported they were satisfied with the opening hours"
Responsive,2160,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2161,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",2162,"27.07% of patients reported they see or speak to a GP they prefer"
"Smoking support",2163,"98.52% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2164,"85.91% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2165,"94.79% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2166,"87.50 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2167,"0.28 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2168,"7.09% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2169,"72.76% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2170,"0.17 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2171,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2172,"92.7% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2173,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2174,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2175,"84.75% of women have attended cervical screening"
"Chronic Disease Management",2176,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2177,"Low priority (Band 6)"
"Dementia review",2178,"93.88% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2179,"89.23% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2180,"82.24% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2181,"86.92% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2182,"100% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2183,"95.52% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2184,"93.28% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2185,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2186,"64.03% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2187,"13.47 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2188,"5.26 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2189,"74.81% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2190,"49.11% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2191,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2192,"0.85 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2193,"0.87 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2194,"79.18% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2195,"83.99% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2196,"100% of people with schizophrenia"
"Mental health â€“ care plans",2197,"96.30% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2198,"6.31% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2199,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2200,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2201,"84.76% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2202,"80.49% of patients reported they were satisfied with the opening hours"
Responsive,2203,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2204,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",2205,"27.07% of patients reported they see or speak to a GP they prefer"
"Smoking support",2206,"98.52% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2207,"85.91% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2208,"94.79% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2209,"87.50 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2210,"0.28 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2211,"7.09% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2212,"72.76% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2213,"0.17 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2214,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2215,"88.68% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2216,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2217,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2218,"81.52% of women have attended cervical screening"
"Chronic Disease Management",2219,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2220,"Low priority (Band 6)"
"Dementia review",2221,"92.86% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2222,"80.35% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2223,"82.6% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2224,"88.56% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2225,"97.01% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2226,"92.16% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2227,"92.95% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2228,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2229,"83.63% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2230,"25.24 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2231,"10 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2232,"82.32% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2233,"60.59% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2234,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2235,"0.72 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2236,"0.77 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2237,"86.67% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2238,"90.86% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2239,"100% of people with schizophrenia"
"Mental health â€“ care plans",2240,"100% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2241,"8.60% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2242,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2243,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2244,"92.86% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2245,"87.60% of patients reported they were satisfied with the opening hours"
Responsive,2246,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2247,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",2248,"49.29% of patients reported they see or speak to a GP they prefer"
"Smoking support",2249,"98.75% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2250,"91.35% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2251,"94.10% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2252,"75.00 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2253,"0.37 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2254,"4.76% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2255,"85.10% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2256,"0.55 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2257,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2258,"78.32% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2259,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2260,"Performing as or better than expected for 5 out of 6 indicators"
"Cervical cancer screening",2261,"96.85% of women have attended cervical screening"
"Chronic Disease Management",2262,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2263,"Low priority (Band 6)"
"Dementia review",2264,"89.02% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2265,"75.63% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2266,"68.73% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2267,"85.95% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2268,"94.3% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2269,"80.71% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2270,"87.94% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2271,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2272,"85.27% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2273,"17.24 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2274,"6.7 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2275,"81.28% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2276,"56.75% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2277,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2278,"0.38 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2279,"0.77 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2280,"85.09% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2281,"85.76% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2282,"95.00% of people with schizophrenia"
"Mental health â€“ care plans",2283,"100% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2284,"0.65% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2285,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2286,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2287,"90.52% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2288,"87.06% of patients reported they were satisfied with the opening hours"
Responsive,2289,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2290,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",2291,"36.23% of patients reported they see or speak to a GP they prefer"
"Smoking support",2292,"95.71% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2293,"89.12% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2294,"96.34% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2295,"100 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2296,"0.32 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2297,"7.17% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2298,"80.81% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2299,"0.23 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2300,"100% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2301,"86.74% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2302,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2303,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2304,"94.76% of women have attended cervical screening"
"Chronic Disease Management",2305,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2306,"Low priority (Band 6)"
"Dementia review",2307,"97.96% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2308,"86.84% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2309,"72.26% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2310,"85.17% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2311,"96.59% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2312,"90.12% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2313,"91.34% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2314,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2315,"89.76% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2316,"20.86 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2317,"6.99 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2318,"80.07% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2319,"48.79% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2320,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2321,"0.85 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2322,"0.86 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2323,"88.37% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2324,"79.43% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2325,"94.83% of people with schizophrenia"
"Mental health â€“ care plans",2326,"66.67% of patients on the mental health register have an agreed care plan"
"Not overheard in reception",2327,"10.21% of patients reported that they could not be overheard in the reception area"
"Palliative care register",2328,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2329,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2330,"91.89% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2331,"90.77% of patients reported they were satisfied with the opening hours"
Responsive,2332,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2333,"Performing as or better than expected for 16 out of 17 indicators"
"Seeing preferred GP",2334,"26.69% of patients reported they see or speak to a GP they prefer"
"Smoking support",2335,"94.02% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2336,"92.19% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2337,"86.12% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2338,"81.82 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2339,"0.37 antibacterial items are prescribed per standardised prescribing unit"
"Use of antibiotics -  Cephalos",2340,"11.02% of antibacterial items prescribed are made up of cephalosporin or quinolones"
"Use of anti-inflammatories",2341,"75.49% of NSAIDs prescribed are made up of naproxen or ibuprofen"
"Use of sleeping tablets",2342,"0.40 hypnotics items are prescribed per standardised prescribing unit"
"Atrial Fibrillation â€“ preven",2343,"93.33% of patients with atrial fibrillation are currently treated with an anti-coagulant drug therapy or an anti-platelet therapy"
"Blood pressure management",2344,"77.95% of patients have had a last blood pressure reading of 150/90 or below"
"Care of Over 75s",2345,"Performing as or better than expected for 5 out of 5 indicators"
Caring,2346,"Performing as or better than expected for 6 out of 6 indicators"
"Cervical cancer screening",2347,"82.64% of women have attended cervical screening"
"Chronic Disease Management",2348,"Performing as or better than expected for 6 out of 6 indicators"
"CQC priority for inspection",2349,"Low priority (Band 6)"
"Dementia review",2350,"85.46% of patients diagnosed with dementia have had a face to face review"
"Diabetes management  - blood s",2351,"77.78% of patients have had a last recorded blood sugar of 64mmol /mol or less"
"Diabetes management â€“ blood",2352,"75.93% of patients with diabetes have had a last blood pressure reading of 140/80 or less"
"Diabetes management â€“ choles",2353,"81.77% of people with diabetes have had a last total cholesterol of 5mmol/l or less"
"Diabetes management- flu vacci",2354,"86.57% of people with diabetes have had a flu vaccination"
"Diabetes tests â€“ foot examin",2355,"90.25% of people with diabetes have had a foot examination"
"Diabetes tests â€“ micro album",2356,"82.67% of people with diabetes have had micro-albuminuria testing"
"Diagnosing dementia",2357,"is the ratio of reported to expected prevalence of dementia"
"Ease of phone contact",2358,"85.41% of patients reported it was easy to get through to the practice on the phone"
"Emergency admissions for long",2359,"17.61 emergency admissions for ACS conditions per 1000 people"
"Emergency cancer admissions",2360,"3.02 emergency admissions per 100 people on the cancer register"
"Flu vaccination rates (65 year",2361,"78.17% of older people receiving flu vaccination"
"Flu vaccination rates (under 6",2362,"62.50% of people in at-risk groups have had a flu vaccination"
"Identification of people with",2363,"This practice has a learning disabilities register"
"Identifying Chronic Obstructiv",2364,"0.93 is the ratio of reported to expected prevalence of COPD"
"Identifying Coronary Heart Dis",2365,"0.62 is the ratio of reported to expected prevalence of CHD"
"Involved in decision making by",2366,"86.75% of patients felt they were involved in making decisions with their GP"
"Involved in decision making by",2367,"97.26% of patients felt that they were involved in making decisions with their nurse"
"Mental health â€“ alcohol reco",2368,"92.50% of people with schizophrenia"
"Mental health â€“ care plans",2369,"93.42% of patients on the mental health register have an agreed care plan"
"Palliative care register",2370,"The practice does have a register of all patients in need of palliative care"
"Palliative care review",2371,"This practice does have regular reviews of patients on the palliative care register"
"Patient experience",2372,"78.12% of patients felt that their overall experience was good or very good"
"Patient satisfaction with open",2373,"86.39% of patients reported they were satisfied with the opening hours"
Responsive,2374,"Performing as or better than expected for 3 out of 3 indicators"
"Safe and Effective",2375,"Performing as or better than expected for 17 out of 17 indicators"
"Seeing preferred GP",2376,"41.63% of patients reported they see or speak to a GP they prefer"
"Smoking support",2377,"94.62% of people with identified conditions whose smoking status is recorded"
"Treated with care and concern",2378,"89.37% of patients felt they were treated with care and concern by their GP"
"Treated with care and concern",2379,"96.22% of patients felt they were treated with care and concern by their nurse"
"Treatment for osteoporosis in",2380,"87.50 % of patients were treated with an appropriate bone sparing agent"
"Use of antibiotics",2381,"0.34 antibacterial items are prescribed per standardised prescribing unit"
